"","AAPL","MSFT","GOOG","NFLX","META","BAC","JPM","GS","BCS","C","PFE","MRK","GSK","NVS","BMY","LMT","NOC","RTX","TXT","GD"
"2020-06-01",0.0129032509834777,0.00158874225441652,0.00946849570376296,0.0169281718598624,0.0325927607211853,0.0135914327186395,0.00869563171355492,0.0132785719251793,0.0274442538593482,0.0272123395764923,-0.00112668151233153,-0.00773263981476779,0.00528457830207585,-0.00505053931184996,0.0139589978802386,5.13935308716906e-05,-0.0147781542952335,-0.0135384153846154,0.0216968918943294,0.00354346848381604
"2020-06-02",0.00462944838578339,0.0113766995419056,0.00516819131588364,0.0032634883489262,0.0034927212540603,0.00934575337888033,0.00334687633563657,0.0210574008272986,-0.00667779632721199,0.0281091804224636,0.0197405037828522,0.0160884859747212,0.00430109936922807,-0.00253808260267663,0.00597115597991116,0.00208247125345085,-0.0109172735902121,-0.0112289607971477,0.0110935344245178,0.0139200308570644
"2020-06-03",0.00550504120127471,0.00243360007714899,-0.00197327721923368,-0.012496775233422,-0.0110003308224462,0.0462962962962963,0.05397752956636,0.0314980309174979,0.0537815126050418,0.0491738788355625,0,0.0150915629064783,0.00214132767407405,-0.00879021523005108,-0.00725478953817671,0.0329938588473522,0.0272121110940629,0.0641955657982471,0.0890282758620689,0.0395793512117903
"2020-06-04",-0.00861216792091757,-0.0131635897002397,-0.0168478954037232,-0.0181055856622376,-0.0168144374901904,0.03039634474798,0.0208114036869111,0.0201833112918119,-0.0063795853269536,0.0433071241094862,-0.00414823041093182,-0.00621496165164293,-0.0111585235317788,-0.00676772485767996,0.0112938052033518,0.00258303650270664,-0.000654842855975724,0.000592870896800601,0.0641911016585435,0.0119822202404747
"2020-06-05",0.0284809871312737,0.0233982016553489,0.0185599708456432,0.0127193762589044,0.0197976540659488,0.0496639264501895,0.0450018875422418,0.0144306437900823,0.059390048154093,0.0576819206583317,-0.000555362294576422,0.00870623883696919,0.001200456124828,0.00904600532027722,0.00722619489614384,0.0175390461812679,0.0189432781004135,0.0675455171812911,0.0581552053514955,0.0326564716444451
"2020-06-08",0.00591249472096522,0.00619660266340727,0.00571466693415101,-0.000262192560597896,0.00272994751952238,0.0152970467699378,0.019958589770064,0.0132617475519619,0.0181818181818183,0.0404349466456855,0.0166712689477289,0.00778020913958222,0.0160670979360409,-0.00256142743697085,0.00163049073437183,0.00864269750456481,0.0195556938984678,0.0289996392396283,0.0365541931634508,0.0342744295754258
"2020-06-09",0.0315780011174474,0.00764494580778852,0.00660165508607435,0.0347088091422634,0.0314174770462612,-0.0112124032511421,-0.0256500315288681,-0.0122729587633981,-0.0431547619047619,-0.0284128338206128,-0.0103853422849879,-0.00772014479846228,-0.0115647394752122,0.0322166693642272,-0.008139345596614,-0.0138546709298962,-0.0179477904712575,-0.0488134143034835,-0.0503082873072327,-0.0256288176518585
"2020-06-10",0.0257275043048346,0.0370916379806381,0.00665454354816153,0.000990722294410107,-0.00812838654316317,-0.0574060615664799,-0.0405283423147428,-0.0209995500871284,-0.0311041990668739,-0.0611764537815127,-0.00800882810133374,-0.00595665593606853,0.0126551811686919,-0.00486260318896314,-0.0126374528147054,-0.0117241262567267,-0.00373689604921279,-0.030904450936994,-0.0817968622070561,-0.0332150301740893
"2020-06-11",-0.048010441537359,-0.0536983957264459,-0.0423031261464762,-0.0205303184822465,-0.0519579403025885,-0.100375939849624,-0.0834433261067947,-0.0908111588458006,-0.0947030497592296,-0.133727208490383,-0.0729399090608113,-0.0540540880002901,-0.051874581466635,-0.0409090681818182,-0.0573470910904255,-0.0492606794508446,-0.0593699926739928,-0.0806027343387545,-0.105486478917238,-0.0601075597575281
"2020-06-12",0.0086335101788273,0.00789177521035533,0.00665312276821961,-0.017600317311779,0.018491329721692,0.0355203092352694,0.0273634814048296,0.0394065512953548,0.0496453900709219,0.0797685695343784,0.0135135780999938,-0.0135746418736011,0.00522255670784766,-0.000592464440936857,-0.00952214793726247,-0.005236037235125,-0.0103118386962782,0.0400955462242019,0.0796712955950456,0.00437559062183257
