Avg. $R^2$,Sample Size,Selected,Size of Selected Subset,# Correct Variables Selected,Sum of Sq. Cannonical Correlations
0.9002427048037346,100.0,[ 5 11 14  7 17  6 16 10 18  2  9 19  1  8  4 15  0 13  3 12 33],21,20,19.999999999999996
0.9002427048037346,100.0,[20 18 13 16  4  5 14 11  3 12  7  8 19  9 26 17  6 15 10  2],20,18,19.665202417865057
0.9002427048037346,100.0,[16 13 17  8  0  2  6 14 12  1  9  7 19  3  4  5 10 11 15 18 23],21,20,19.999999999999996
0.9002427048037346,100.0,[16  6 20 13  3  9 11 26 15 12 14  4  7 10 18 17  2  8  5 19],20,18,19.665202417865054
0.9002427048037346,100.0,[19  9 18  1  0  3 15  2  4  8 16 11 12 13  7 10  5  6 14 17 44],21,20,19.999999999999996
0.9002427048037346,100.0,[12  4 20 26 10  5 15 19 17 11  8 18  9  2 13 16  6 14  7  0],20,18,19.665202417865054
0.9002427048037346,100.0,[15  0  8 17 13 18 12  9  2 19 11 10 14  5  3  7 16  6  4  1 44],21,20,19.999999999999996
0.9002427048037346,100.0,[13  3 16  9  1 15 12 18  5 19  7 14  8 11 10 17  0  2  4  6 34],21,20,20.0
0.9002427048037346,100.0,[ 7  3  2 11 12 18  4 19  9 15  1  6 13  8 16 14 17  5 10  0],20,20,20.0
0.9002427048037346,100.0,[12 13  7 15 18 19  5 10  0  4 17 14  8 26 11  6 20 16  9  1],20,18,19.66520241786505
0.9002427048037346,100.0,[10 12  0 14  9 15 16  7  6  5 17  1 13 11 19  2  4  8 18  3],20,20,20.0
0.9002427048037346,100.0,[15 18 12 19  1  6  2  4 16 14 17  3  5 13  7  8 11 10  9  0 34],21,20,20.0
0.9002427048037346,100.0,[10  4 13  0  2 19 12  6 17 14  5  7  1 16 11 18  8  9 15  3 32],21,20,20.0
0.9002427048037346,100.0,[11 14  7 19 15 10  6 16  3 12 18  1  5  0  2  8 17  4  9 13 33],21,20,20.0
0.9002427048037346,100.0,[26  5 17 14  0 13 10 11  4 12 15 20  9  8  7  2  6 18 19 16],20,18,19.665202417865054
0.9002427048037346,100.0,[ 3 11 12 16  8  6 17  7 15 14 10  4 18  9  5 13  0 19  1  2 41],21,20,20.0
0.9002427048037346,100.0,[12  0  1 42  4  3  7  6 17 13 16 18  2 11 19 15  8  9 10  5 14],21,20,20.0
0.9002427048037346,100.0,[ 4  6 18 19  5  7  3 16 11 14 15 12  2 10  8 13 20 26  9 17],20,18,19.665202417865057
0.9002427048037346,100.0,[ 1  6  8  9 16 17 12  0 46  2  7 15 45  5  4 10  3 14 13 18 11 19 34],23,20,19.999999999999996
0.9002427048037346,100.0,[17  9  0  1  3 11  2 18 16  4  8 13 12 14 15  6  7 10  5 19],20,20,20.0
0.9002427048037346,100.0,[ 6 17 12  8 10  9 19  7 14 16  3  4 11  1 13 15 18  2  5  0],20,20,20.0
0.9002427048037346,100.0,[10  7  9 15 14 12 25 18 17 11  8 16 19  1  2 13  3  0  4  6  5 27],22,20,20.0
0.9002427048037346,100.0,[ 5 10 15 18  3  9  7 11  8 19 12 13 17  4  2 14 16  0  6  1],20,20,20.0
0.9002427048037346,100.0,[18  2 19  4  7 13 12  8  5 16  9  0 10 14 11  6  3  1 15 17],20,20,20.0
0.9002427048037346,100.0,[10  1  7 12 14 19 16 11 13 17  5 15 18  8  2  0  9  4  6  3],20,20,20.0
0.9002427048037346,100.0,[11 14 20  1  7 15  6 16  8  5 10 19 13  9  0  4 12 26 17 18],20,18,19.665202417865054
0.9002427048037346,100.0,[15  7 14  5 17  0 19  2 12  9  1  8 10 18 13  6  3  4 11 16 41],21,20,19.999999999999996
